rating_key,title,parent_title,grandparent_title,full_title,parent_media_index,media_index,media_type,studio,started,stopped,seconds,start_time,end_time,,,,,,,,,,,,
11235,"First Battle: The Struggle for Trost, Part 1",Season 1,Attack on Titan,"Attack on Titan - First Battle: The Struggle for Trost, Part 1",1,5,episode,NHK,1599698990,1599702637,3647,9/9/20 8:49 PM,9/9/20 9:50 PM,,,,,,,,,,,,
11236,"The World the Girl Saw: The Struggle for Trost, Part 2",Season 1,Attack on Titan,"Attack on Titan - The World the Girl Saw: The Struggle for Trost, Part 2",1,6,episode,NHK,1599710341,1599711957,1616,9/9/20 11:59 PM,9/10/20 12:25 AM,,,,,,,,,,,,
11237,"Small Blade: The Struggle for Trost, Part 3",Season 1,Attack on Titan,"Attack on Titan - Small Blade: The Struggle for Trost, Part 3",1,7,episode,NHK,1599783113,1599783609,496,9/10/20 8:11 PM,9/10/20 8:20 PM,,,,,,,,,,,,
11238,"I Can Hear His Heartbeat: The Struggle for Trost, Part 4",Season 1,Attack on Titan,"Attack on Titan - I Can Hear His Heartbeat: The Struggle for Trost, Part 4",1,8,episode,NHK,1599788951,1599791292,2341,9/10/20 9:49 PM,9/10/20 10:28 PM,,,,,,,,,,,,
11239,"Whereabouts of His Left Arm: The Struggle for Trost, Part 5",Season 1,Attack on Titan,"Attack on Titan - Whereabouts of His Left Arm: The Struggle for Trost, Part 5",1,9,episode,NHK,1599791305,1599792743,1438,9/10/20 10:28 PM,9/10/20 10:52 PM,,,,,,,,,,,,
11240,"Response: The Struggle for Trost, Part 6",Season 1,Attack on Titan,"Attack on Titan - Response: The Struggle for Trost, Part 6",1,10,episode,NHK,1599792770,1599794169,1399,9/10/20 10:52 PM,9/10/20 11:16 PM,,,,,,,,,,,,
11241,"Idol: The Struggle for Trost, Part 7",Season 1,Attack on Titan,"Attack on Titan - Idol: The Struggle for Trost, Part 7",1,11,episode,NHK,1599794179,1599795684,1505,9/10/20 11:16 PM,9/10/20 11:41 PM,,,,,,,,,,,,
11242,"Wound: The Struggle for Trost, Part 8",Season 1,Attack on Titan,"Attack on Titan - Wound: The Struggle for Trost, Part 8",1,12,episode,NHK,1599795692,1599795965,273,9/10/20 11:41 PM,9/10/20 11:46 PM,,,,,,,,,,,,
11243,"Primal Desire: The Struggle for Trost, Part 9",Season 1,Attack on Titan,"Attack on Titan - Primal Desire: The Struggle for Trost, Part 9",1,13,episode,NHK,1599797419,1599799518,2099,9/11/20 12:10 AM,9/11/20 12:45 AM,,,,,,,,,,,,
11244,"Can't Look into His Eyes Yet: Eve of the Counterattack, Part 1",Season 1,Attack on Titan,"Attack on Titan - Can't Look into His Eyes Yet: Eve of the Counterattack, Part 1",1,14,episode,NHK,1599858544,1599858800,256,9/11/20 5:09 PM,9/11/20 5:13 PM,,,,,,,,,,,,
11245,"Special Operations Squad: Eve of the Counterattack, Part 2",Season 1,Attack on Titan,"Attack on Titan - Special Operations Squad: Eve of the Counterattack, Part 2",1,15,episode,NHK,1599862695,1599863363,668,9/11/20 6:18 PM,9/11/20 6:29 PM,,,,,,,,,,,,
11246,"What Needs to be Done Now: Eve of the Counterattack, Part 3",Season 1,Attack on Titan,"Attack on Titan - What Needs to be Done Now: Eve of the Counterattack, Part 3",1,16,episode,NHK,1599864364,1599865661,1297,9/11/20 6:46 PM,9/11/20 7:07 PM,,,,,,,,,,,,
11247,"Female Titan: The 57th Exterior Scouting Mission, Part 1",Season 1,Attack on Titan,"Attack on Titan - Female Titan: The 57th Exterior Scouting Mission, Part 1",1,17,episode,NHK,1599865669,1599867410,1741,9/11/20 7:07 PM,9/11/20 7:36 PM,,,,,,,,,,,,
11248,"Forest of Giant Trees: The 57th Exterior Scouting Mission, Part 2",Season 1,Attack on Titan,"Attack on Titan - Forest of Giant Trees: The 57th Exterior Scouting Mission, Part 2",1,18,episode,NHK,1599867419,1599868690,1271,9/11/20 7:36 PM,9/11/20 7:58 PM,,,,,,,,,,,,
11249,"Bite: The 57th Exterior Scouting Mission, Part 3",Season 1,Attack on Titan,"Attack on Titan - Bite: The 57th Exterior Scouting Mission, Part 3",1,19,episode,NHK,1599868709,1599870086,1377,9/11/20 7:58 PM,9/11/20 8:21 PM,,,,,,,,,,,,
11250,"Erwin Smith: The 57th Exterior Scouting Mission, Part 4",Season 1,Attack on Titan,"Attack on Titan - Erwin Smith: The 57th Exterior Scouting Mission, Part 4",1,20,episode,NHK,1599870090,1599871329,1239,9/11/20 8:21 PM,9/11/20 8:42 PM,,,,,,,,,,,,
